klc_id |is_tfca|is_chs|{significance}
EAF_13|0|0|{"Forest and endemics"}
EAF_14|0|0|{"Forest and endemics", "Savannah"}
EAF_15|0|0|{"Endangered Itigi-Sumbu thicket", "Woodlands, escarpment", "Scenery, wildlife – will become increasingly important for elephant with climate change", "Lake Tanganyika – second largest freshwater lake in world by volume and the second deepest", "Endemic fish fauna", "Chimpanzees"}
EAF_16|0|0|{"Endemic fish fauna"}
WAF_01|0|0|{"Rare Saharan large mammals: Scimitar oryx, Dama gazelle, Addax, Dorcas"}
WAF_02|0|0|{"Coastal wetlands for migratory and water birds"}
WAF_03|0|0|{"Coastal wetlands for migratory and water birds", "Coastline and coastal waters for critically endangered Mediterranean monk seal", "Desert sector"}
WAF_04|1|1|{"Lion, wild dog, cheetah, leopard, elephant, giraffe, manatee, roan antelope, buffalo"}
WAF_05|0|1|{"Leopard, elephant, roan antelope, buffalo"}
WAF_06|0|0|{"Lion, giant eland, roan antelope, buffalo, chimpanzee, elephant"}
WAF_07|0|0|{"Elephant", "Wetlands of critical importance to the migrating waterbirds"}
WAF_08|0|0|{"Lion", "Elephant"}
WAF_09|0|0|{"Elephant, roan antelope, buffalo"}
WAF_10|0|1|{"Endemic species (pygmy hippo, chimpanzee, Jentink’s and zebra duikers)", " More than 1 300 vascular plant species recorded", "12 endemic birds"}
WAF_21|0|0|{"Water tower and unique biodiversity", "Rich flora", "317 vertebrate species (duikers, big cats, civets, chimpanzees and several types of viviparous toads)", " Many invertebrates"} 
WAF_11|0|0|{"Forest elephant, pygmy hippo, Jentink’s duiker, water chevrotain, leopard and 13 species of primate, one of the highest densities of chimpanzees in West and Central Africa (Loma Mountains)", "More than 300 forest-dependent birds; more than 25 are threatened or restricted range species"}
WAF_12|0|0|{"Forest elephant, pygmy hippo, leopard", "Nine species of primates", "More than 250 species of birds"}
WAF_13|0|0|{"Endangered monkeys, amphibians and birds", "Manatee"}
WAF_14|0|0|{"Best developed mangroves in West Africa with migratory and water birds and endangered species (manatee and pygmy hippo)", "Success story of forest governance"}
WAF_15|0|0|{"Mosaic of delta rivers, rivers, sandy coast and islands and islets with mangroves, savannahs, forests and marine areas", "Breeding ground for turtles and wetlands of critical importance to the migrating waterbirds"}
WAF_16|0|0|{"Mosaic of delta rivers, rivers, sandy coast and islands and islets with mangroves, savannahs, forests and marine areas", "Breeding ground for turtles and wetlands of critical importance to the migrating waterbirds"}
WAF_17|0|0|{"Mosaic of delta rivers, rivers, sandy coast and islands and islets with mangroves, savannahs, forests and marine areas", "Breeding ground for turtles and wetlands of critical importance to the migrating waterbirds"}
WAF_18|0|0|{"Wetlands, floodplains important for birds", "This area is not covered by a direct conservation measure, but should be supported by the special fund for new or larger KLCs and KCAs in savannah areas."}
WAF_19|0|0|{"Wetlands, floodplains important for birds", "This area is not covered by a direct conservation measure, but should be supported by the special fund for new or larger KLCs and KCAs in savannah areas."}
WAF_20|0|0|{"Mosaic of delta rivers, rivers, sandy coast and islands and islets with mangroves, savannahs, forests and marine areas", "Breeding ground for turtles and wetlands of critical importance to the migrating waterbirds"}
CAF_01|0|1|{"Afro-montane endemics", "Cross river sub species of gorilla"}
CAF_02|0|1|{"Albertine Rift Ecoregion", "3 World Heritage Sites", "Entire mountain gorilla population and important chimpanzee populations", "Majority of Albertine endemics", "Exceptional tourism potential", "Protection of vital freshwater fish stocks", "Watershed protection"}
CAF_03|0|0|{"Vast contiguous block of mainly intact moist forest", "4 WHS (3 x natural, 1 x cultural and natural)", "Majority of Central Africa’s remaining forest elephants", "Majority of Central Africa’s lowland gorillas and chimpanzees", "Endemic sun tailed monkey (Lopé)", "Ancient rock art (Lopé)", "Major portion of Congo basin flora", "Good potential for PPPs with logging and mining sector and with protected area management specialists"}
CAF_04_SAF_11|1|0|{"Inland wetlands", "Endangered manatee population", "Forest elephant and apes", "Globally important for marine turtles (4 species), whales and dolphins (17 species)", "High tourist potential", "Protects regionally important marine fish stocks", "Potential for PPPs with logging and oil sectors", "South-western part of Congo Basin rainforest", "Chimpanzees and lowland gorillas"}
CAF_05|0|1|{"Largest Congo elephant population", "Hippos, giraffe, lion, savannah ungulates", "Bongo, giant eland, giant forest hog"}
CAF_06|0|1|{"World Heritage Site", "Until recent conflict good CBNRM results from safari hunting in Zone Pilote de Sangba buffer zone"}
CAF_07|0|1|{"World Heritage site", "Bonobos, endemic small primates"}
CAF_08|0|0|{"Okapi, forest elephant, chimpanzee, forest buffalo, Congo peacock, aquatic genet"}
CAF_09|0|0|{"Grauer’s gorilla, forest elephant, small primates, forest buffalo"}
CAF_10|0|0|{"Grauer’s gorilla (important site for this species given its very heterogeneous distribution in Eastern DR Congo) and other endemics including okapi, aquatic genet, Congo peacock"}
CAF_11|0|1|{"Endemic Congo zebra and other plains mammals", "Spectacular landscapes", "Tourism potential", "Very important watershed protection"}
CAF_12|0|0|{"Bonobo, elephant, sitatunga, etc."}
CAF_13|0|0|{"Bonobo", " ogether with Lac Tele in Congo this is the largest area of protected Congolian swamp forest", "Protection of vital freshwater fish stocks"}
CAF_14|0|0|{"Chimpanzees – one of the few viable chimp populations in the Albertine Rift", "Endemic subspecies of Angolan colobus and red colobus", "Albertine bird endemics"}
CAF_15|0|1|{"Bonobo, okapi, Congo peacock, two newly described species of small primate"}
CAF_16|0|1|{"One of largest remaining savannah elephant populations in Central Africa", "Gorillas, chimps, forest savannah ecotone species"}
CAF_17|0|0|{"Savannah elephants", "Savannah ungulates (23 antelope species) including giant eland"}
CAF_18|0|0|{"Savannah elephant, savannah ungulates", "High tourism potential"}
CAF_06_18|0|0|{"1 World Heritage Site", "Until recent conflict good CBNRM results from safari hunting in Zone Pilote de Sangba buffer zone", "Savannah elephant, savannah ungulates", "High tourism potential"}
CAF_19|0|0|{"Pleistocene refuge, with the highest species richness and diversity of any site in western Central Africa", "Mandrills", "Vital water catchment area", "On WHS tentative list"}
CAF_20|0|0|{"Spectacular forest covered volcanic landscapes with a large altitudinal range (0-3 000 m) (Pico)", "5 endemic sub-species of primate", "Globally important beaches for marine turtles", "On the WHS tentative list? (Pico)", "Plant and bird endemics (Obo)", "Vital for watershed protection", "Landscapes of outstanding scenic interest with high tourist potential", "On the WHS tentative list? (Obo)"}
